taxa,order,PC1,PC2,PC3,lat,long,state,K2,K3,species,K2_ext,K3_ext,K3_ext_species,wild_vs_breeding
E2.81,44,47.10541,26.160505,3.8917265,NA,NA,IL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005XY,45,-1.4214181,15.176854,4.405947,40.44508,-88.0973,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
E3.16,46,49.251728,25.35103,4.5393825,NA,NA,IL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005Y1,47,49.02347,26.269262,6.130237,40.52732,-88.0765,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y2,48,27.424452,15.459474,8.446099,40.52732,-88.0765,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y4,49,47.813984,23.968763,5.943764,40.52732,-88.0765,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y5,50,38.24938,17.219711,11.30561,40.52732,-88.0765,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y6,51,41.46311,21.024956,11.289476,40.7467,-88.6143,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y7,52,40.44428,7.9291925,5.313594,40.7467,-88.6143,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y8,53,43.99527,21.127602,8.581214,40.7467,-88.6143,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y9,54,29.37138,10.213901,11.772055,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005YA,55,33.97497,13.991514,12.383954,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005YC,56,47.364742,24.027668,6.7851763,40.7467,-88.6143,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005YE,57,44.74274,23.61019,6.266214,40.7467,-88.6143,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005YF,58,45.290195,24.970486,8.978732,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005YH,59,-60.690956,16.727434,-5.161019,NA,NA,elite_genet,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S005YJ,60,-60.94807,14.110194,0.24207625,NA,NA,elite_genet,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S005YK,61,-45.524082,0.07984048,15.484493,NA,NA,elite_genet,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S005YL,62,-55.453682,8.4249735,-5.749512,38.95086,-98.151,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YM,63,-52.55947,8.246552,-4.282926,38.95086,-98.151,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YN,64,-58.55634,12.339206,-10.3849,38.95086,-98.151,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YP,65,-56.17689,14.618999,-13.967383,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005YQ,66,-60.4372,17.139751,-16.287457,38.95086,-98.151,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YR,67,-59.26196,12.599045,-11.512319,38.95086,-98.151,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YT,68,-59.45699,13.739206,-10.709454,38.95086,-98.151,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YU,69,-47.677013,9.147094,-8.562896,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YV,70,-51.964916,11.726468,-12.122107,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YW,71,-54.102085,13.849157,-16.92818,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YX,72,-47.878742,5.082583,-2.3453047,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YY,73,-48.073875,5.067312,-1.4432122,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00600,74,-58.278072,11.809671,-9.9185295,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00601,75,-54.57219,16.853441,-18.574606,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00602,76,-54.10488,15.266188,-13.671533,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00603,77,-57.994926,11.5547285,-9.903975,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00604,78,-52.961243,10.188085,-10.051704,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00605,79,-54.987183,16.69068,-19.228897,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
