taxa,order,PC1,PC2,PC3,lat,long,state,K2,K3,species,K2_ext,K3_ext,K3_ext_species,wild_vs_breeding
S005RH,192,-33.425636,-12.174536,-9.553767,36.71372,-95.7128,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RJ,193,-42.100338,-2.1039298,-2.183845,38.68219,-97.1669,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RP,194,37.25198,-13.435827,-13.344602,36.66453,-95.3068,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RT,195,4.6874776,-26.213335,1.9654168,34.77003,-94.6445,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005RX,196,36.686726,-15.654026,-5.300064,33.27442,-89.2962,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005T0,197,-21.527426,-35.063763,-11.28688,35.26778,-95.8253,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005T2,198,-12.716484,-20.271198,4.569266,36.695,-95.3765,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005T3,199,-44.48651,-0.35549474,2.4786458,41.405,-97.7092,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005T6,200,38.773834,-13.660582,-8.963346,33.70853,-89.7683,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005T7,201,-17.737183,-34.518654,4.19215,35.26778,-95.8253,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005TF,202,-50.3663,4.9864626,-5.806104,33.70853,-89.7683,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TH,203,-9.0146675,-0.57226026,-11.334265,36.12867,-91.1576,AR,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TK,204,-56.957516,9.812347,-9.421835,42.04191,-93.7278984,IA,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005TL,205,36.041615,-14.309358,-10.524406,41.11348,-93.9566582,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TM,206,22.097765,-19.717691,4.5914817,41.11348,-93.9566582,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TP,207,43.834045,-14.162001,-20.975079,41.57353,-94.4907,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TQ,208,46.31285,-9.2649975,-23.726946,41.57353,-94.4907,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TR,209,41.824295,-15.104744,-20.221045,41.57353,-94.4907,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TT,210,27.13564,-10.096126,2.559244,36.27336,-91.3548,AR,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TV,211,-26.317461,-15.136316,1.0518405,36.71372,-95.7128,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005TW,212,43.684147,-7.4852033,-11.2817745,42.44837,-93.0517159,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TX,213,44.10533,18.997665,7.201125,41.7286,-88.11756,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005U0,214,40.743164,-13.289731,-10.435182,40.6166,-92.838458,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U1,215,38.7332,-14.692512,-14.129748,42.11257,-89.2608,IL,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U5,216,36.549534,-13.59329,-7.791513,40.93493,-92.7638979,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U6,217,44.128735,-9.294566,-18.047972,40.80523,-92.8204025,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U8,218,36.892612,-13.733247,-11.384933,42.11257,-89.2608,IL,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005UC,219,44.35262,-12.153017,-17.230518,40.83406,-92.9159244,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005UJ,220,40.056984,-16.13713,-16.995907,30.55917,-96.2375,TX,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005UP,221,31.704887,-16.685766,-1.5479167,40.64499,-93.1827744,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005V4,222,-44.777016,6.728804,-5.109605,41.62292,-97.9353,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005V5,223,-56.231857,9.26324,-7.492511,42.08789,-96.3279,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005V7,224,33.12401,7.733738,7.3493385,41.55366,-91.1932217,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005V8,225,-46.394413,6.777344,-5.1493673,42.08789,-96.3279,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005VA,226,-11.492339,-17.684256,1.5021335,36.58919,-95.2205,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005VV,227,-13.493055,-17.494265,0.8373212,36.695,-95.3765,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005VW,228,-49.60482,10.343223,-15.443321,39.1061,-96.5993,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005VX,229,-49.760117,9.756095,-9.374601,41.62292,-97.9353,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005W6,230,48.05314,14.165542,3.228686,38.46611,-90.8217,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005W7,231,43.83744,13.40727,4.282715,38.46611,-90.8217,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WA,232,1.9659047,-33.353268,4.013143,30.02985,-95.255,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005WF,233,14.242103,-22.210106,20.79797,36.79122,-87.4569,KY,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WH,234,40.754765,5.6143546,6.6084285,38.46603,-90.8216,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WK,235,-31.986267,-12.315727,-4.0715356,36.71372,-95.7128,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060Q,236,44.032352,22.45341,11.326151,NA,NA,check,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0060T,237,-26.329292,-1.9070768,6.145898,42.08789,-96.3279,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S0060W,238,-36.154114,-0.5516421,9.680939,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,N_A
S00614,239,-31.176468,-28.356665,67.71067,NA,NA,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S00615,240,-26.946438,-28.70035,62.556206,NA,NA,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S0061A,241,8.8352995,-59.702965,96.77862,NA,NA,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S0061H,242,-57.239834,7.536986,5.657998,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061L,243,-61.404903,14.085595,-5.837726,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061Q,244,18.505585,24.515055,21.777184,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061U,245,46.85351,31.91436,23.387236,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061X,246,-57.137184,8.185204,1.892533,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061Y,247,23.669601,34.33976,30.658144,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00620,248,22.309288,45.5808,22.2497,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00627,249,43.51439,37.04894,26.400373,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00628,250,8.202042,39.588757,23.481146,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00629,251,22.702782,39.25144,17.036985,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062E,252,-62.38595,7.3650346,16.804224,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062F,253,-41.93871,-1.4935539,11.473927,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062M,254,23.231468,31.68284,16.252527,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062P,255,-57.936264,8.88705,1.6544576,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062Q,256,-55.93807,4.7892146,18.421858,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062R,257,-61.180386,10.339105,3.4159844,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062V,258,-42.953667,4.805248,-3.0985243,42.41286,-97.223,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
