Class,Type,Sc.taccada,H.annuus_HA412HO,H.annuus_XRQ,S.integrifolium,S.perfoliatum
LTR,Copia,198578,364200,342153,787126,818048
LTR,Gypsy,252646,784290,739617,2253310,2136211
LTR,unknown,122265,772099,725925,2744810,2621003
TIR,CACTA,52329,88195,82589,322868,310105
TIR,Mutator,136342,317931,307515,545382,543906
TIR,PIF_Harbinger,11157,43875,45512,82054,85614
TIR,Tc1_Mariner,63967,8645,5450,16587,22067
TIR,hAT,31259,193672,196551,382142,367325
nonTIR,helitron,127210,452603,420724,1258302,1270613
