Class,Type,Sc.taccada,H.annuus_HA412HO,H.annuus_XRQ,S.integrifolium,S.perfoliatum
LTR,Copia,307445330,364525625,360650734,979787612,989368690
LTR,Gypsy,283936228,1490434295,1267928574,2092515501,2041247273
LTR,unknown,78894376,509246000,487962756,1826979760,1762244860
TIR,CACTA,25916809,26086917,25675476,127404278,123145699
TIR,Mutator,59845557,100871814,94772910,221130556,208030291
TIR,PIF_Harbinger,3835505,13012653,14510770,26321136,27395986
TIR,Tc1_Mariner,16224444,2160080,1322318,4921450,6756669
TIR,hAT,14466969,63766749,62348566,122970345,117762269
nonTIR,helitron,60842682,145910853,139019580,407195874,407405914
