Taxa	ray_floret_count_al25	ray_floret_count_comb	ray_floret_count_ks24	ray_floret_count_ks25
S005X0	NA	21.36759985	25.97024601	21.78554148
S005X1	NA	17.69413972	NA	20.28702227
S005X2	20	21.22345967	NA	24.66658856
S005X3	17	16.6041566	NA	NA
S005X4	15	13.6371847	15.02975399	17.76871134
S005X5	NA	13.80554417	13.02975399	17.83536264
S005X8	24	22.8227903	NA	24.79858399
S005X9	23	20.53703088	22.97024601	19.76871134
S005XA	NA	14.96322062	16.02975399	17.76871134
S005XC	21	19.8654159	NA	21.01974644
S005XE	19	23.20595182	25	30.17170077
S005XF	26	24.76713284	25.02975399	NA
S005XH	17.5	16.45844611	NA	18.29874568
S005XJ	18	15.71698238	NA	17.25373743
S005XN	NA	NA	NA	NA
S005XQ	NA	11.49344321	13	NA
S005XR	29	25.84472572	NA	NA
S005XU	NA	11.50345391	NA	14.06257486
S005XV	18.66666667	18.07739947	19	21.09528916
S005XW	NA	13.48985184	NA	16.28406069
S005XY	NA	18.67771855	NA	16.5278668
S005Y0	NA	12.33238244	NA	14.90632199
S005Y1	NA	13.47921548	14.02975399	17.17170077
S005Y2	NA	10.69413972	NA	13.28702227
S005Y4	NA	11.80378594	13.02975399	14.72333088
S005Y6	NA	16.12722618	18.5	17.83536264
S005Y7	NA	14.7312696	15.02975399	14.76871134
S005Y8	NA	12.10738462	13.02975399	15.17331778
S005YA	NA	19.93656495	23.97024601	20.02797726
S005YC	38	21.56804551	13.97024601	NA
S005YE	NA	13.3641582	17	13.70984509
S005YH	46.5	41.41544335	48.52975399	35.45409303
S005YJ	36	39.41039737	42.47024601	44.77824866
S005YK	31	36.3781308	35	49.17170077
S005YL	22	19.42262012	23.97024601	19.02249005
S005YM	24.33333333	24.04602938	25	27.28554148
S005YN	26	23.93271225	NA	24.52386185
S005YQ	19.25	18.07616592	18.97024601	20.25828729
S005YR	22.66666667	29.98951894	43	30.82467784
S005YT	22.5	20.46460652	NA	21.4113398
S005YU	19	19.94081024	19.75	24.94929235
S005YV	26	23.38673498	24	24.27865041
S005YW	25.5	24.77130644	24.02975399	28.65601897
S005YX	NA	NA	NA	NA
S005YY	NA	22.0641166	24	24.36271845
S00600	26	21.68319345	16.02975399	19.17170077
